,full_text,weekday,month,day,hour,has_hashtag,has_url,like_count,is_reply,retweet_count,followers,following,user,screen_name
55,"RT @KalkaOsman: About to vote for our brilliant #Greens for my fellow ex-ward cllr @MagicMagid 💚💚💚
#VoteMAGID #EUelections2019 #ChooseHope…",Thu,May,23,18,1,0,0,0,19,595,919,briansteed27,briansteed27
56,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,18,1,0,0,0,34,97,9,GIFGIFHOORAY,GIFGIFHOOREY
57,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,18,1,0,0,0,34,805,1895,Zuzana Plk,ZuzanaPlk
58,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,18,1,0,0,0,25,980,1105,vince,vinny2033
59,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,17,1,0,0,0,25,250,346,ocelothe2k1 🇵🇱 #StopActa2,ocelothe2k1
60,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,17,1,0,0,0,25,847,1535,Wietze Brandsma,wabrandsma
61,[i] BYE BYE KILLER GLOBALIST THERESA MAY! | British PM Theresa May to step down on Friday amid cabinet revolt over #Brexit plan - report https://t.co/ANo2SOjZOj | #TheresaMay #AndreaLeadsom #EuropeanParliamentelections #EUElection #EU2019 #EP2019 #EPP #UKIP #Brexitparty,Thu,May,23,17,1,1,1,1,0,207,171,RjSeeker,RjSeeker1
62,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,17,1,0,0,0,25,10838,11756,Anonymous Worldwide,AnonsWorldwide
63,Do the Local Elections Results Show the Greens Have Finally Shaken Off Corbynism? https://t.co/Qt47lXYod6 #green #greens #labour #climateaction #climatechange #climatebreakdown #environment #EuropeanElections2019 #localelections2019 #GreenWave https://t.co/mIjpZMBroo,Thu,May,23,17,1,1,0,0,1,237,237,Mike Shaughnessy,MikeShaugh
64,RT @AnonsWorldwide: #EPP #ALDE want to create a secret service in #EU so they scan all user activity online &amp; match biometrics data with al…,Thu,May,23,17,1,0,0,0,18,13,72,Our culture is not for sale.,endart17now
65,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,17,1,0,0,0,25,36371,26912,Anonymous 🍀,YourMarkLubbers
66,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,17,1,0,0,0,25,885,2587,Anonymous Nederland,NLanonops
67,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,17,1,0,0,0,25,1197,1269,Anonymous DeleteFacebook,DeletedFacebook
68,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,17,1,0,0,0,34,26130,28750,Hans Lak🌍🇪🇺 #VoteClimate💚,HansLak
69,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,17,1,0,0,0,34,332,86,JovicGin,JovicGin
70,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,17,1,0,0,0,25,1248,988,Jo Ozymadias,Jo_Ozymandias
71,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,17,1,0,0,0,34,423,1141,Oskar Hartman,0skarhartman
72,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,17,1,0,0,0,25,70,77,Scorp125,Scorp122
73,"RT @Cobradabest: Tweeting everyday until the #EUelections2019 Day #4: Vote out the #EPP, #SD and #ALDE in #EP2019 to make sure this doesn't…",Thu,May,23,17,1,0,0,0,7,56,222,Mp,Mp13662117
74,"RT @KalkaOsman: About to vote for our brilliant #Greens for my fellow ex-ward cllr @MagicMagid 💚💚💚
#VoteMAGID #EUelections2019 #ChooseHope…",Thu,May,23,17,1,0,0,0,19,52,68,Abdikarim Yusuf,yusuf_aym3080
75,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,16,1,0,0,0,25,231,367,Joseph,CaptainXtra
76,#copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting personal data is forbidden. #uploadfilters scan all Europeans online data. European Court of Justice banned uploadfilters in 2012 #ThisTimeImVoting #euelections2019 https://t.co/spb1LuZCD4,Thu,May,23,16,1,0,27,0,25,10838,11756,Anonymous Worldwide,AnonsWorldwide
77,"RT @AnonsWorldwide: @TheProgressives No way. @katarinabarley says she wants an EU army https://t.co/Pcmo3lcrpv Besides, you &amp; your allies #…",Thu,May,23,16,0,1,0,0,7,56,222,Mp,Mp13662117
78,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,16,1,0,0,0,34,125,2233,Louis Carpon,CarponLouis
79,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,16,1,0,0,0,34,462,2639,Lavinia Mainardi,laviniamainardi
80,"RT @AnonsWorldwide: #EPP #SD #ALDE passed #copyrightdirective censorship &amp; surveillance law violating several existing laws:

- The e-comme…",Thu,May,23,16,1,0,0,0,24,13,114,bat outta heck,darkmutt666
81,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,16,1,0,0,0,34,9750,1397,FYEG #VoteForClimate,FYEG
